"TIMESTAMP","RECORD","FCH4_mass","FCH4_QC","nmbr_smp_FCH4","FC_mass","FC_QC","nmbr_smp_FC","LE","LE_QC","nmbr_smp_LE","ET","ET_QC","nmbr_smp_ET","H","H_QC","nmbr_smp_H","Bowen_ratio","TAU","TAU_QC","USTAR","TSTAR","TKE","TA_1_1_1","RH_1_1_1","T_DP_1_1_1","e_amb","e_sat_amb","TA_1_1_2","RH_1_1_2","RH_SIGMA_1_1_2","e_fast","e_sat_fast","TA_1_1_3","RH_1_1_3","T_DP_1_1_3","e_probe","e_sat_probe","H2O_density_probe","PA","VPD","U","U_SIGMA","V","V_SIGMA","W","W_SIGMA","T_SONIC","T_SONIC_SIGMA","sonic_azimuth","WS","WS_RSLT","WS_MAX","WD_SONIC","WD_SIGMA","WD","CH4_density","CH4_density_SIGMA","CH4_mixratio","CH4_mixratio_SIGMA","CO2_density","CO2_density_SIGMA","H2O_density","H2O_density_SIGMA","CO2_sig_strgth_Min","H2O_sig_strgth_Min","sun_azimuth","sun_elevation","hour_angle","sun_declination","air_mass_coeff","daytime","TS_1_1_1","SWC_1_1_1","cs65x_ec_1_1_1","FETCH_MAX","FETCH_90","FETCH_80","FETCH_70","FETCH_FILTER","FETCH_INTRST","FP_FETCH_INTRST","FP_EQUATION"
"TS","RN","ugCH4 m-2 s-1","grade","count","mgCO2 m-2 s-1","grade","count","W m-2","grade","count","mm hour-1","grade","count","W m-2","grade","count","fraction","kg m-1 s-2","grade","m s-1","deg C","m2 s-2","deg C","%","deg C","kPa","kPa","deg C","%","%","kPa","kPa","deg C","%","deg C","kPa","kPa","gH2O m-3","kPa","hPa","m s-1","m s-1","m s-1","m s-1","m s-1","m s-1","deg C","deg C","decimal degrees","m s-1","m s-1","m s-1","decimal degrees","decimal degrees","decimal degrees","ugCH4 m-3","ugCH4 m-3","nmolCH4 mol-1","nmolCH4 mol-1","mgCO2 m-3","mgCO2 m-3","gH2O m-3","gH2O m-3","fraction","fraction","decimal degrees","decimal degrees","decimal degrees","decimal degrees","adimensional","fraction","deg C","%","dS m-1","m","m","m","m","adimensional","m","%","authors"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Min","Avg","Avg","Avg","Avg","Avg","Tot","Avg","Avg","Avg","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-09-22 14:00:00",8,0.05225873,7,36000,-0.1451499,7,36000,116.1231,7,36000,0.1704439,7,36000,62.4178,7,36000,0.537514,-0.04053001,7,0.1989999,-0.3024315,0.6024533,20.8816,53.94899,11.20453,1.336911,2.478437,20.43422,55.34218,1.930424,1.334952,2.411916,20.48643,63.91381,13.4262,1.545844,2.41861,11.40671,86.75623,1.076965,1.356416,0.6787069,0,0.8355377,7.450581E-09,0.2148027,21.86729,0.5967329,0,1.583877,1.355512,3.97954,193.7398,30.75669,166.2602,1583.761,25.57428,1932.661,7.032992,644.4226,3.707971,9.851713,0.486792,0.9960179,0.997929,210.2356,44.08405,21.22372,0.05741411,1.229619,1,23.82273,7.72385,0.03031033,4.941351,62.20424,33.42864,22.43199,1,214.413,97.72745,"Kljun_et_al"
"2026-09-22 14:30:00",9,0.1056983,7,36000,-0.1773965,7,36000,106.0581,7,36000,0.1557046,7,36000,44.06321,7,36000,0.4154631,-0.01854708,7,0.1347109,-0.3158456,0.4688275,20.98322,53.12443,11.06454,1.324598,2.493818,20.66115,54.10407,2.262896,1.323206,2.445526,20.57897,63.58092,13.43357,1.546534,2.432411,11.40824,86.69926,1.12232,1.091961,0.4454167,0,0.8385677,0,0.1899029,22.08355,0.4952758,0,1.354296,1.091319,3.438462,196.814,35.69334,163.186,1576.862,28.09927,1932.625,9.072878,642.5488,4.140429,9.7577,0.4923718,0.9547874,0.9848524,219.4399,40.88261,28.72539,0.04928529,1.306231,1,24.36872,7.790005,0.030882,5.875991,73.96996,39.75154,26.67492,1,214.413,97.19138,"Kljun_et_al"
"2026-09-22 15:00:00",10,0.0263505,7,36000,-0.1632217,7,36000,118.5556,7,36000,0.1741666,7,36000,68.48051,7,36000,0.5776233,-0.01183269,7,0.1077227,-0.6153156,0.7628993,22.05685,49.31371,10.93624,1.313105,2.663453,21.34052,51.37,1.693933,1.310004,2.550675,21.27144,62.11191,13.72858,1.576514,2.538229,11.60204,86.69444,1.240671,1.029309,0.8235091,0,0.8969023,7.450581E-09,0.2078405,22.75199,0.695254,0,1.393334,1.028758,4.943904,169.1159,41.43346,190.8841,1562.728,23.29712,1926.056,7.621235,641.234,3.757724,9.637796,0.4447358,0.966225,0.9589635,227.7162,37.02224,36.22691,0.04104449,1.419842,1,24.39194,7.836561,0.031202,6.926317,87.19199,46.85709,31.44303,1,214.413,96.56741,"Kljun_et_al"
"2026-09-22 15:30:00",11,0.1325074,5,36000,-0.05738988,5,36000,80.9819,5,36000,0.118955,5,36000,24.79699,5,36000,0.3062041,-0.01438613,2,0.1187533,-0.2020592,0.3295036,21.93764,48.70988,10.62869,1.286643,2.645706,21.22665,50.71761,2.627468,1.28356,2.532058,21.39438,61.49717,13.69079,1.572698,2.557577,11.56909,86.68777,1.248498,0.5282095,0.4000145,0,0.6897022,9.313226E-10,0.1526642,22.60896,0.4723789,0,0.8956524,0.5281898,2.22656,214.4739,51.88261,145.5261,1552.953,27.62694,1925.778,9.735464,644.2604,2.739034,9.447438,0.4643825,0.9818305,0.9862911,235.1441,32.64614,43.72887,0.03298104,1.584679,1,24.55807,7.832283,0.03155733,3.224338,40.5896,21.8129,14.63736,1,214.413,98.65162,"Kljun_et_al"
"2026-09-22 16:00:00",12,0.0111637,9,36000,-0.04080047,9,36000,58.94282,9,36000,0.08658949,9,36000,37.66507,9,36000,0.6390103,-0.009528966,9,0.09668355,-0.3771288,0.4173358,22.12786,50.12357,11.19233,1.336458,2.677716,21.32087,52.41476,4.021681,1.33291,2.547613,21.31203,62.70398,13.90734,1.594922,2.545103,11.73597,86.67189,1.214702,0.7053908,0.520295,0,0.7349182,1.862645E-09,0.154467,22.75737,0.6442047,0,0.9710129,0.7050837,3.550139,185.918,42.38924,174.082,1579.113,45.79501,1935.561,21.89599,640.995,3.633987,9.807835,0.600782,0.9915679,0.9950041,241.8499,27.8763,51.23087,0.02499549,1.827817,1,24.36607,7.827455,0.03171333,5.288629,66.57594,35.778,24.00851,1,214.413,97.53053,"Kljun_et_al"
"2026-09-22 16:30:00",13,-0.02680487,7,36000,-0.07350137,7,36000,72.87341,7,36000,0.1070921,7,36000,37.84449,7,36000,0.5193182,-0.01790641,7,0.1325928,-0.2766706,0.4729819,22.5794,45.93121,10.32875,1.260877,2.752481,21.6883,48.30468,2.52525,1.257113,2.606113,21.76755,60.07723,13.68335,1.571962,2.616846,11.54895,86.6767,1.349,1.113569,0.623201,0,0.7238946,0,0.1831962,23.04426,0.7640414,0,1.348351,1.113078,3.841434,164.9016,33.83525,195.0984,1528.818,22.19073,1911.394,8.21977,641.7197,3.14519,9.238127,0.4008031,0.9963313,0.9984651,247.9725,22.81248,58.7326,0.01675531,2.20367,1,24.04178,7.824269,0.03166933,6.08803,76.63921,41.186,27.63751,1,214.413,97.06703,"Kljun_et_al"
"2026-09-22 17:00:00",14,0.06916225,8,36000,0.005413394,8,36000,45.04703,8,36000,0.0660978,8,36000,-8.944663,8,36000,-0.1985628,-0.02813576,1,0.1658083,0.05203076,0.2266115,20.41271,53.93126,10.73102,1.295046,2.410733,20.0951,54.93694,4.348761,1.29364,2.363601,20.40027,63.00317,13.11882,1.515172,2.407634,11.18333,86.63566,1.069961,2.070263,0.4851397,0,0.428135,-1.862645E-09,0.1859112,21.48374,0.8312779,0,2.115092,2.070178,4.155702,220.4843,11.80341,139.5157,1583.312,44.09361,1951.033,31.70848,647.476,4.251978,9.559086,0.3990329,0.8656239,0.8556792,253.6467,17.53624,66.23441,0.008619536,2.831695,1,23.91746,7.824436,0.03160533,10.12163,162.4385,76.86356,48.58351,1,214.413,92.28146,"Kljun_et_al"
"2026-09-22 17:30:00",15,0.4078107,3,36000,0.03444792,4,36000,51.55454,3,36000,0.0756378,3,36000,-17.39682,3,36000,-0.337445,-0.03471568,1,0.1841402,0.09109782,0.3975163,20.02022,54.08384,10.41847,1.269017,2.350478,19.97848,54.22638,4.244995,1.268826,2.34453,19.96398,63.26474,12.76848,1.480652,2.342256,10.94532,86.62873,1.075704,2.294809,0.7054055,0,0.4900661,0,0.2393134,21.33985,0.3908859,0,2.347303,2.29479,5.301264,241.6502,12.11526,118.3498,1572.544,48.85376,1946.598,28.87024,641.7965,2.899287,9.379531,0.5147867,0.9921115,0.9940937,258.9953,12.11755,73.73657,0.0007092247,4.051453,1,23.38892,7.777561,0.03139267,10.12461,162.4863,76.88619,48.59781,1,214.413,92.27928,"Kljun_et_al"
"2026-09-22 18:00:00",16,-0.4704288,8,36000,0.04970356,8,36000,9.642077,8,36000,0.01413336,8,36000,-4.864189,8,36000,-0.5044752,-0.01064539,4,0.1017928,0.04590968,0.2795448,19.09838,58.54236,10.77501,1.298154,2.219641,19.02916,58.7961,2.745994,1.297832,2.210186,19.2589,64.97796,12.5142,1.456132,2.241989,10.78977,86.65758,0.9123535,1.332565,0.3691131,0,0.6375654,-3.72529E-09,0.1278886,20.41694,0.4224992,0,1.482743,1.331741,2.99739,287.5553,25.84896,72.4447,1607.409,44.75481,1968.765,44.15195,654.7517,6.880023,9.624752,0.2106398,0.9920761,0.9941061,264.1282,6.632092,81.2381,-0.007532998,7.243345,1,22.66671,7.71646,0.031055,10.65498,170.9981,80.91387,51.1436,1,214.413,91.89751,"Kljun_et_al"
"2026-09-22 18:30:00",17,1.110023,7,36000,0.5825212,5,36000,91.38975,5,36000,0.1337781,5,36000,-49.77094,5,36000,-0.544601,-0.3104969,5,0.5480919,0.08676539,4.022029,17.60815,59.97985,9.679328,1.211203,2.02363,17.62352,59.94803,6.240448,1.21125,2.025859,17.76567,65.52324,11.21073,1.338071,2.043466,9.964978,86.72906,0.8146093,5.631288,2.55908,0,1.089419,0,0.5552757,18.91104,0.938834,0,5.721687,5.623765,15.24699,337.2589,10.59651,22.74115,1641.84,172.5424,2040.384,187.5289,658.075,11.49391,9.025561,0.86847,0.9893422,0.9918825,269.148,1.210862,88.73962,-0.01577984,25.33997,0.75,21.95271,7.65402,0.03064333,8.275926,132.8175,62.84732,39.7242,1,214.413,93.62016,"Kljun_et_al"
